Hospital Name,Address,CITY,STATE,PIN CODE,PPN / NON PPN
Chandra Laxmi Hospital,"Sector 4, Plot No 336/337, Vaishali",GHAZIABAD,UTTAR PRADESH,201010,PPN
Save Sight Centre,"A-14, G.T Karnal Road Adarsh Nagar delhi-110033adarsh Nagar",NEW DELHI,DELHI,110033,PPN
Deep Hospital And Research Centre,"Khatipura Road,,JhotiwaraJhotwara",JAIPUR,RAJASTHAN,302012,PPN
Sant Parmanand Hospital,"18, Shamnath Marg,Civil Lines,Near I.P.College,New DelhiCIVIL LINES",NEW DELHI,DELHI,110054,PPN
Delhi Heart And Lung Institute,"3mm Ii,,Panchkuian Road,,New DelhiNIL",NEW DELHI,DELHI,110055,PPN
Jaspal Nursing Home,"69, Model Town, Ambala City",AMBALA,HARYANA,134003,PPN
Eye Care Centre,"Sector 14 & 15, Main Dividing Road",FARIDABAD,HARYANA,121007,PPN
Metro Heart Institute with Multispeciality,"Sector 16A, Faridabad",FARIDABAD,HARYANA,121003,PPN
Banarasidass Chandiwala Institute Of Medical Science,"Chandiwala Estate,,Maa Anandmai Ashram Marg,,KalkajiNIL",NEW DELHI,DELHI,110019,PPN
"Ramlal Kundanlal Orthopaedic Hospital And R K Maternity
Home","8, Pandav Nagar, Opp Mother Dairy Plant, Patparganj",DELHI,DELHI,110092,PPN
Jeewan Nursing Homeand Hospital,"2 B,,Pusa Road,New DelhiNIL",NEW DELHI,DELHI,110001,PPN
Sukhda Hospital,"SHOPPING CENTRE, PAMPOSH ENCLAVE NEAR R-BLOCK, GK-INIL",NEW DELHI,DELHI,110048,NON PPN
Monga Medical Centre,"J 10 Krishna Nagar, Near Bses Office,",DELHI,DELHI,110051,PPN
Amit Nursing Home,"A-3, Manak Vihar Ext., Near D.D.V Hospital, Tihar",NEW DELHI,DELHI,110018,PPN
Aakash Hospital,"90/43, Malviya Nagar,Opp. Green Field School,New DelhiNIL",NEW DELHI,DELHI,110017,PPN
Pushpanjali Medical Centre,"A-14/15,Pushpanjali Vikas Marg Extn,,New DelhiNIL",NEW DELHI,DELHI,110092,PPN
Surya Ortho And Trauma Centre,"5 R/5/1,N I T, Near G K Chowk",FARIDABAD,HARYANA,121001,PPN
Guru Nanak Hospital,"Delhi Mathura Road, NH-2, Near Bus Stand",PALWAL,HARYANA,121102,NON PPN
Neelkanth Hospital,"1 Nathupur Road, Main Mehrauli Gurgaon Road, Near Guru Dronacharya Metro
Station, Phase 3, DLF City",GURGAON,HARYANA,122022,PPN
Sethi Hospital,"301-302 /4, Model Town,Basai Road,Near Bhuteshwar Mandir,",GURGAON,HARYANA,122001,PPN
Mamta Hospital (Gurgaon),"877 / 2, Opp Home Guard Office, Sheetla Mata Road,Main Bus Stand Gurgaon",GURGAON,HARYANA,122001,PPN
Vasundhara Hospital,"Plot No-15/NH-1, Vasundhara Sector 15,Near Atal Chowk,Vasundhara",GHAZIABAD,UTTAR PRADESH,201012,PPN
Bhardwaj Nursing And Maternity Home Pvt.Ltd,"Nh-1, Sector 29,Opp.Ganga Shopping Complex,Noida",NOIDA,UTTAR PRADESH,201301,PPN
Gaba Hospital,"Gaba Hospital, Bye Pass Road,,Opp. Panchayat Bhawan,Nh-93,Yamuna
NagarYAMUNA NAGAR","YAMUNA
NAGAR",HARYANA,135001,NON PPN
Aryan Hospital Pvt Ltd,"Old Railway Road,,,Gurgaon",GURGAON,HARYANA,122001,PPN
Sehgal Neo Hospital,"B 364, Outer Ring Road, Meera Bagh, Pachim Vihar",DELHI,DELHI,110063,PPN
MGS Hospital,"35/37 Rohtak Road, West Punjabi Baug, On The Main Rohtak Road,( Near General
Store,",NEW DELHI,DELHI,110001,PPN
Kesar Hospital (Delhi),"A H - 11 ,Shlimar Bagh,,Near Prabhu Dayal Public School,DelhiShalimar Bagh",DELHI,DELHI,110088,PPN
Shree Jeewan Hospital,"67/1, NEW ROHTAK ROADNew Delhi",NEW DELHI,DELHI,110005,PPN
Manu Hospital And Research Centre,"A-1a,Shyam Nagar,,Near Central Academy School,Sodala,,SodalaNIL",JAIPUR,RAJASTHAN,302019,PPN
Metro Hospital And Heart Institute,"X-1, Sector 12,Close To Chowda Mode, Noida",NOIDA,UTTAR PRADESH,201301,PPN
Delhi Heart Hospital,"176, Jagriti Enclave,Vikas Marg Extension, Near Anand Vihar Colony,Karkardooma,",DELHI,DELHI,110092,PPN
Ganesh Hospital,"11-C/3, 2-C/3, Nehrugar,Ghaziabad Nehru Nagar,,11-C/3,,GhaziabadNIL",GHAZIABAD,UTTAR PRADESH,201001,PPN
Venu Eye Institute And Research Centre,"Plot No 1 Faciltity Centre 31, Sheikh Sarai Institutonal Area, Phase 2",NEW DELHI,DELHI,110017,PPN
Bharathi Hospital,"14-24-1, Men`S Hostel Road,Near Zilla Parishad,MaharanipetaNIL",Visakhapatnam,ANDHRA PRADESH,530002,NON PPN
Woodlands Hospital(Hyderabad),"3-4-852,Barkatpura,,HyderabadBarkatpura",HYDERABAD,TELANGANA,500027,PPN
Apex Hospital Pvt Ltd,"SP 4 & 6 Malviya Nagar Industrial Area,Malviya Nagar Near Calgary Eye
Hospital,Malviya NagarNIL",JAIPUR,RAJASTHAN,302017,PPN
Bhagwati Hospital (Unit Of Sarvodya Health Foundation),"C/Socf 6 Sector 13 , Rohini,Nearprinter Apt ,Mother Dairy,New DelhiNIL",NEW DELHI,DELHI,110085,PPN
Chaudhary Eye Centre And Laser Vision,"4802 Bharat Ram Road, 24 Ansari Road, Daryaganj",NEW DELHI,DELHI,110002,PPN
Sri Guru Harkishen Charitable Eye Hospital(SGHS),"Sector 77,,Opp. Sri Gurdwara Gur Shabad Prakash, Akal Ashram, Sohana,MohaliNIL",MOHALI,PUNJAB,140308,PPN
Sarvodaya Hospital,"Gopi Colony, Sector 19",FARIDABAD,HARYANA,121006,PPN
Navin Hospital Pvt Ltd,"NH-3, 1st Ave, Pocket F, Sector Alpha 2","GREATER
NOIDA",UTTAR PRADESH,201308,PPN
Khetarpal Nursing Home,"GN - 5, Shivaji Enclave,New DelhiNew Delhi",NEW DELHI,DELHI,110027,PPN
Mata Chanan Devi Hospital,"C-1, Janak Puri,On Main Pankha Road, St Marks School Janakpuri,",NEW DELHI,DELHI,110058,PPN
Aastha Eye Centre,"25, Nit Faridabad,,Surgical Centre 5-P-59,NIT,FaridadbadFaridabad",FARIDABAD,HARYANA,121001,PPN
Sarvodaya Hospital And Heart Centre,"D 3, Kavi Nagar Industrial Area, Kavi Nagar",GHAZIABAD,UTTAR PRADESH,201002,NON PPN
Centre For Sight Safdarjung,"B-5/24, Safdarjung Enclave,,New DelhiNIL",NEW DELHI,DELHI,110029,PPN
Bhagwan Mahavir Hospital,"Sector-14, Extension, Madhuban Chowk,,RohiniNIL",NEW DELHI,DELHI,110085,PPN
Khetarpal Hospital,"F 95 Main Najapagarh Road,Bali Nagar,New DelhiBALI NAGAR",NEW DELHI,DELHI,110015,PPN
Noida Medicare Centre Ltd.,"Plot # 16- C Block E,,Sector - 30 G.B. Nagar,Near Gautam Budh Nagar,,Noidanoida",NOIDA,UTTAR PRADESH,201303,PPN
Shroff Eye Centre,"A-9, Kailash Colony,On Main Road, Moolchand Nehru Place,New DelhiNIL",NEW DELHI,DELHI,110048,PPN
PHOENIX HOSPITAL,"E-60, GREATER KAILASH",NEW DELHI,DELHI,110048,NON PPN
Ballabgarh Nursing Home,"64/65- Mukesh Colony,,BallabgarhBallabgarh",FARIDABAD,HARYANA,121004,PPN
Sumitra Nursing And Maternity Home,"A119 A, Sector No 35, Noida",NOIDA,UTTAR PRADESH,201301,PPN
CENTRE FOR SIGHT DEFENCE ENCLAVE,"81, DEFENCE ENCLAVE, OPP PREET VIHAR, VIKAS MARG,NIL",NEW DELHI,DELHI,110092,NON PPN
National Heart Institute,"49-50 Community Centre,,East Of Kailash,,New DelhiNIL",NEW DELHI,DELHI,110065,NON PPN
"Medeor Hospital Limited (Formely known as Rockland
Hospitals ltd)","B-33-34,Qutub International Area,,Tara Cresent Road, Near Qutub Hotel,New
DelhiNew delhi",NEW DELHI,DELHI,110016,PPN
Jeevan Jyoti Hospital(New Delhi),"B-28, Kiran Garden,,Uttam Nagar,,New DelhiNew Delhi",NEW DELHI,DELHI,110059,PPN
Dr Pattnaiks Laser Eye Institute,"C-2,LAJPAT NAGARNIL",NEW DELHI,DELHI,110024,PPN
Criticare Hospital And Research Centre,"PLOT NO-39,MAIN GULMOHAR ROAD,J.V.P.D. SCHEME,ANDHERI(W)-691mumbai",MUMBAI,MAHARASHTRA,400069,PPN
Krishna Hospital And Research Centre,"3-136, Gurunanak Pura,,Nainital Road,,HaldwaniNIL",HALDWANI,UTTARAKHAND,263141,NON PPN
Aarogya Hospital,"32, Chitra Vihar, Vikas Marg, Behind Laxmi Nagar District Centre, Near V3S
Mall,Near Nirman Vihar Metro Station",NEW DELHI,DELHI,110092,PPN
Meenakshi Hospital (A Unit of Rajshree Hospital Pvt.Ltd. ),"B-13, Dabur Corporate Office,Near Anand Vihar, Kaushambhi",GHAZIABAD,UTTAR PRADESH,201010,PPN
Chandna Medical Centre,"52 , Sector - 18 A,,Near New Sabzi Mandi,,Old FaridabadNIL",FARIDABAD,HARYANA,121002,PPN
Jain Child And Maternity Hospital,"AE 7, AE Block, East Shalimar Bagh, Shaheed Udham Singh Marg",NEW DELHI,DELHI,110088,PPN
"BHATIA GLOBAL HOSPITAL AND ENDOSURGERY
INSTITUTE","350,307-308, AMBIKA VIHAR,PASCHIM VIHARNIL",NEW DELHI,DELHI,110087,PPN
Pushpawati Singhania Research Institute,"Phase 2, j Pocket, Press Enclave Marg, Sheikh Sarai",NEW DELHI,DELHI,110017,PPN
Sparsh Medicare And Trauma Centre,"3/54, Shanti Khand, Padmana Naidu Marg, Indirapuram",GHAZIABAD,UTTAR PRADESH,201014,PPN
Icare Eye Hospital,"E-3A, Sector-26,",NOIDA,UTTAR PRADESH,201301,PPN
Sharda Hospital (Noida),"Plot No. 32/34,,Knowledge Park Iii,,Greater NoidaGreater Noida","GREATER
NOIDA",UTTAR PRADESH,201306,PPN
Medfirst Ent Centre,"D 3/14, Vasant Vihar",NEW DELHI,DELHI,110057,NON PPN
Vision Eye Centre,"12/27, West Patel Nagar, Near Arya Samaj Mandir",NEW DELHI,DELHI,110008,PPN
Pushpanjali Hospital And Research Centre,"Pushpanjali Palace, Delhi Gate,",AGRA,UTTAR PRADESH,282002,NON PPN
Soni Hospital,"38, Kanota Bagh, JLN Marg",JAIPUR,RAJASTHAN,302004,PPN
Tirath Ram Hospital Pvt Ltd(Gurgaon),"163 / 20, Basai Road",GURGAON,HARYANA,122001,PPN
Kapoor Medical Centre(Delhi),"E- 18 Naraina Vihar,Near Pvr Opposite Community Centre,New DelhiNIL",NEW DELHI,DELHI,110028,PPN
Navjyoti Eye Centre,"90, Daryaganj,Behind Police Station,,New DelhiDaryaganj",NEW DELHI,DELHI,110002,PPN
Uma Sanjeevani Health Centre Pvt Ltd,"1, Dakshim Marg , Dlf City Phase-Ii,Opp. Central Shopping Arcade, Mehrauli Road",GURGAON,HARYANA,122002,NON PPN
Panacea Hospital Ltd Bangalore,"#334,Dr Siddaiah Puranik Road,3rd Stage,4th Block, BasaveshwarnagarNIL",BANGALORE,KARNATAKA,560079,NON PPN
Max Healthcare Institute Ltd ( Pancheel Park),"Max Medcentre, N-110,Panchsheel Park,New DelhiPanchsheel Park",NEW DELHI,DELHI,110017,PPN
MAX HEALTHCARE INSTITUTE PVT LTD,"MAX HOSPITAL, HB TWIN TOWER NEAR T.V.TOWER, PITAM PURANIL",NEW DELHI,DELHI,110034,NON PPN
Shekhar Hospital,"942 / 45, 28th Main,9th Block,JayanagarNIL",BANGALORE,KARNATAKA,560069,NON PPN
Dashmesh Hospital,"C-141, SHIV NAGAR EXTN, Jail Road",NEW DELHI,DELHI,110058,PPN
Brahm Shakti Hospital And Research Centre.,"U - 1/78, Budh Vihar,Kanjhawala Road ,",DELHI,DELHI,110086,PPN
Central Hospital,"A-142, Ganesh Nagar,,Tilak NagarTilak Nagar",NEW DELHI,DELHI,110018,PPN
Medwin Hospitals,"100, Raghava Ratna Towers,,Chirag Ali Lane,,NampallyNIL",Hyderabad,TELANGANA,500001,PPN
Tagore Hospital And Research Institute,"Tagore Lane, Sector-7,,Shipra Path, Madhya Marg, Mansarovar",JAIPUR,RAJASTHAN,302020,PPN
Batra Hospital And Medical Research Centre,"1,Tughlakabad Institutional Area , Mehrauli Badarpur Road",NEW DELHI,DELHI,110062,PPN
Palwal Hospital,"NEAR AGRA CHOWK, NR NEW SOHNA MOD,Old GT Road,",PALWAL,HARYANA,121002,NON PPN
SATYAM HOSPITAL AND TRAUMA CENTRE,"392, Adarsh Nagar,KAPURTHALA CHOWKnil",JALANDHAR,PUNJAB,144008,PPN
Om Hospital Cardiac Medical Centre,"B - 9, Poonam Nagar, Shanti Park,Phase - I I I ,Mira Road(E)Bhayandhar,",THANE,MAHARASHTRA,401107,NON PPN
Sodhi Nursing Home And Ent Hospital,"455, Bhera Enclave,Paschim Vihar, New DelhiPaschim Vihar",NEW DELHI,DELHI,110027,PPN
Asian Institute Of Gastroenterology Pvt Ltd,#6-3-661 SomajigudaHyderabad,HYDERABAD,TELANGANA,500082,PPN
Navjeevan Hospital,"A-12, Pushpanjali Enclave, Outer Ring Road, Opp Jaipur Golden Redlight Near Kali
Mandir",DELHI,DELHI,110088,PPN
Kathuria Hospital,"19/8, Model Town, Opp S D Senior Secondary School, Khandsa Road, NH 8, Rajeen
Chowk,",GURGAON,HARYANA,122001,PPN
Dhawan Hospital,"Plot-1, Sector7, Panchakula,,N/O Mansa Devi DwarPanchkula",PANCHKULA,HARYANA,134109,PPN
Shri Moolchand Kidney Hospital And Urological Institute,"1075-1076-1077, Sector 13, Urban Estate",KARNAL,HARYANA,132001,NON PPN
Dr Sushma Jindal Hospital Delhi,"488/15, Dilshad Garden,Near Radha Krishan Mandir",NEW DELHI,DELHI,110095,PPN
Nazar Kanwar Surana Hospital,"219/220, N.K.Surana Marg,,Gulabi Bagh,,New DelhiGulabi Bagh",NEW DELHI,DELHI,110007,PPN
Ganesh Ortho Trauma And Medical Centre (Delhi),"F-15/7, Hanraj Marg Krishna Nagar,,Near Bses Office,DelhiNew Delhi",NEW DELHI,DELHI,110051,PPN
Sukhmani Hospital,"B 7, Extn, 126A, Safdarjung Enclave",NEW DELHI,DELHI,110029,PPN
AYUSHMAN HOSPITAL,"Plot No. 2, Sector 12,,,DwarkaNIL",NEW DELHI,DELHI,110075,PPN
Sarvodaya Hospital,"342, Sector- 4,,Vaishali, Nr. Dabur,GhaziabadNIL",Ghaziabad,UTTAR PRADESH,201012,NON PPN
Walia Nursing And Maternity Home,"G 60, Vikas Marg, Laxmi Nagar, New Delhi,,Laxmi NagarNIL",NEW DELHI,DELHI,110092,PPN
Mallika Hospital,"Sharma Estate,Next To Dewan Shopping Centre,,S.V.Road,,Jogeshwari(W)NIL",MUMBAI,MAHARASHTRA,400102,PPN
Malik Radix Health Care Pvt Ltd,"C 218 Nirman Vihar, Vikas Marg, In Front Of Coffee Home, Nirman Vihar",DELHI,DELHI,110002,PPN
Shivalik Hospital,"Huda Market, Sector 37",FARIDABAD,HARYANA,121002,PPN
"Max Healthcare Institute Ltd (A unit of Crosslay Remedies
Ltd)","Max Hospital, A-364,Sector 19,NoidaNoida",NOIDA,UTTAR PRADESH,201301,PPN
Raj Nursing Home (A unit of Raj Rishik Hospital),Clinic Site No 6 Sector - 3Faridabad,FARIDABAD,HARYANA,121004,PPN
Bensups Hospital,"Bensups Avenue, Sector-12,Near Metro Station, Dwarka",NEW DELHI,DELHI,110075,PPN
Dayanand Medical College And Hospital,"Tagore Nagar, Civil Lines",LUDHIANA,PUNJAB,141001,PPN
Jeewan Hospital And Nursing Home,"Gate No 2,150 Jeewan Nagar Ashram, Near Maharani Bagh",NEW DELHI,DELHI,110014,PPN
Jeewan Mala Hospital Pvt Ltd,"67/1, New Rohtak Road",NEW DELHI,DELHI,110005,PPN
Tantia General Hospital,"2-A-6 , Sukhadia Nagar,,Midway Between Sukhadia Circle And Meera Chowk On
The Main Road,NIL",GANGANAGAR,RAJASTHAN,335001,NON PPN
Primus Super Speciality Hospital,"Chandragupta Marg, Chanakyapuri",NEW DELHI,DELHI,110021,PPN
Umkal Hospital,"A-520, Near Iffco Metro Station,,Sushant Lok-1,,Sushant Lok-1,NIL",GURGAON,HARYANA,122001,PPN
Metro Hospitals And Cancer Institute,"21, Community Centre, Preet Vihar",NEW DELHI,DELHI,110092,PPN
Amandeep Hospital,"Model Town, Gt Road",AMRITSAR,PUNJAB,143001,PPN
Goyal Hospital And Research Centre Pvt Ltd,"961/3,Residency Road,Opp Rotary Hall,JodhpurNIL",JODHPUR,RAJASTHAN,342003,NON PPN
SEHGAL NURSING HOME( AZADPUR),"A-6, PANCHWATI OPP AZADPUR SUBZI MANDI,DELHI-110033NIL",NEW DELHI,DELHI,110033,NON PPN
Lion Kidney Hospital And Urology Research Institute,"Opposite B Block,New Friends Colony,New DelhiNIL",New Delhi,DELHI,110065,PPN
Narang Eye Institute Laser And Retina Centre,"B-8,Derawal Nagar,,Model Town,,DelhiModel Town",NEW DELHI,DELHI,110009,PPN
Neera Eye Centre And Laser Vision,"99, Bharat Ram Road, Opposite Commercial School, Darya Ganj",NEW DELHI,DELHI,110002,PPN
"IVY MULTI SPECIALITY HOSPITAL AND CANCER RESEARCH
INSTITUTE","SEC 71, 160071, Airport Road",MOHALI,PUNJAB,160071,PPN
Lall Eye Care Centre,"Opp Mianwali Colony, New Railway Road",GURGAON,HARYANA,122001,PPN
Paras Hospitals Gurgaon,"C-1, Ph 1, Sushant Lok,Sec-43,GurgaonSushant Lok",GURGAON,HARYANA,122002,PPN
Dr OM PRAKASH EYE INSTITUTE PVT LTD,"117-A, THE MALL, AMRITSAR-143001Amritsar",AMRITSAR,PUNJAB,143001,PPN
Shri Balajis Multipeciality Hospital,"SEC-9-10, BASAI CHOWK, BASAI ROAD, GURGAON-122001NIL",GURGAON,HARYANA,122001,PPN
SSB Heart And Multi Speciality Hospital,"69, Sector 20 A, Near Neelam Flyover, Near Ajraunda Chowk, Mathura Road",FARIDABAD,HARYANA,121001,PPN
SARDANA EYE INSTITUTE,"A2/19, RAJAURI GARDEN,NEW DELHI-110027NIL",NEW DELHI,DELHI,110027,PPN
R G Stone Urology And Laparoscopy Hospital,"Plot No. 217, 218, P D A Colony,,Panjim Mapusa Road,,AltoporvorimPorvorim,",GOA,GOA,403521,NON PPN
Visitech Eye Centre.,"R - 13, Greater Kailash - I,,Opp. Sony World Showroom,,DelhiNew Delhi",NEW DELHI,DELHI,110048,PPN
RLKC HOSPITAL METRO HEART INSTITUTE,"Naraina Road Near,Shadipur Metro Station",NEW DELHI,DELHI,110008,PPN
Gargi Hospital,"R-9/182, Sector 10, Raj Nagar",GHAZIABAD,UTTAR PRADESH,201002,PPN
Kukreja Hospital,"D-36 Acharya Niketan ,,Mayur Vihar,Phase 1New Delhi",DELHI,DELHI,110091,PPN
Satya Medical Centre(Noida),"A-98/A, Sector 34,Sector 34,G.B.NagarNIL",NOIDA,UTTAR PRADESH,201307,PPN
Drishti Eye Laser Centre,"B-1/18, Mianwali Nagar,Peer Agarhi Metro Station,Opp Piller No 301.,Gate No
3,NIL",New Delhi,DELHI,110087,NON PPN
Max Super Speciality Hospital West Block,"1, Press Enclave Road,,,SaketSaket",NEW DELHI,DELHI,110017,PPN
Artemis Medicare Services Ltd,"Sector-51, Near Blossom 2, Cyber Park",GURGAON,HARYANA,122001,PPN
Mata Roop Rani Maggo And Mahindru Hospital,"C-9, Om Vihar, Uttam Nagar,,,New DelhiNew Delhi",NEW DELHI,DELHI,110059,PPN
BM Gupta Nursing Home Pvt Ltd Uttam Nagar,"W-Z-H-11,12,14, Near Sanatan Dharm Mandir, Uttam Nagar",NEW DELHI,DELHI,110059,PPN
MAHARAJA AGRASEN HOSPITAL,"Road No. 35, West Punjabi Bagh,,Punjabi BaghNIL",NEW DELHI,DELHI,110026,PPN
Samyak Hospital,"BM 7 East, Opp Prabhu Dayal Public School Bm-7(East),,Opp. Prabhu Dayal Public
School,Shalimar Bagh",DELHI,DELHI,110088,PPN
Kailash Nursing Home Pvt Ltd,"49, South Patel Nagar Market, Near Patel Nagar Metro Station",NEW DELHI,DELHI,110008,NON PPN
Cygnus Sonia Hospital (A Unit Of Altius Healthcare Pvt Ltd),"Plot No 1, Gulshan Parktional Highway, No - 10,Ngloi,1, Gulshan Park, Main Rohtak
Road,New DelhiNIL",NEW DELHI,DELHI,110041,PPN
Sarvodaya Hospital And Research Centre,"YMCA Road, Sector 8, Near ESI Hospital",FARIDABAD,HARYANA,121001,PPN
Pushpanjali Hospital (Civil Lines),"John Hall Road,,Civil LinesGurgaon",Gurgaon,HARYANA,122001,NON PPN
Hyderabadi General Hospital And Nursing Home,"Near Sanjay Chowk, Sanoli Road,",PANIPAT,HARYANA,132103,NON PPN
Ahuja Hospital,"Sanoli Road, New HB Colony",PANIPAT,HARYANA,132103,NON PPN
Kailash Hospitals Ltd (Greater Noida),"23, Institunal Area,,Knowledge Park-I,Near Pari Chowk,,Greater NoidaNIL","GREATER
NOIDA",UTTAR PRADESH,201310,PPN
Balaji Hospital,"Rohtak Rd, Subhash Nagar, Jind",JIND,HARYANA,126102,NON PPN
Durga Hospital Pvt Ltd,"711, Dr Mukherjee Nagar,Opp Batra Cinema,Delhi",NEW DELHI,DELHI,110009,PPN
Pahuja Hospital,"18, Nehru Nagar, Behind Skylark",PANIPAT,HARYANA,132103,NON PPN
Holy Child Nursing Home,"C 43/44, East Krishna Nagar, Block C, Shahdara",NEW DELHI,DELHI,110051,NON PPN
Surbhi Hospital Pvt Ltd,"Golf Course Road, Morna, Sector 35",NOIDA,UTTAR PRADESH,201301,PPN
Gleneagles Global Health City,"439, Cheran Nagar, PerumbakkamKanchipuram",CHENNAI,TAMILNADU,600100,PPN
Jeevan Jyoti Clinic And Nursing Home,"M - 131, Vikas Puri, NIL",NEW DELHI,DELHI,110018,PPN
Lotus Hospital,"W 2 409 A, Janak Park, Harinagar",NEW DELHI,DELHI,110064,PPN
